event,gender,fighter1,fighter2,fight,winner,Method,Round,Time,Time format,duration
UFC Fight Night: Namajunas vs. Cortez,0,Viviane Araujo,Jasmine Jasudavicius,UFC Fight Night: Namajunas vs. Cortez: Viviane Araujo v Jasmine Jasudavicius,,,,,,
UFC Fight Night: Namajunas vs. Cortez,1,Santiago Ponzinibbio,Muslim Salikhov,UFC Fight Night: Namajunas vs. Cortez: Santiago Ponzinibbio v Muslim Salikhov,,,,,,
UFC Fight Night: Namajunas vs. Cortez,1,Josh Fremd,Andre Petroski,UFC Fight Night: Namajunas vs. Cortez: Josh Fremd v Andre Petroski,,,,,,
UFC Fight Night: Namajunas vs. Cortez,0,Luana Santos,Mariya Agapova,UFC Fight Night: Namajunas vs. Cortez: Luana Santos v Mariya Agapova,,,,,,
UFC Fight Night: Namajunas vs. Cortez,0,Rose Namajunas,Tracy Cortez,UFC Fight Night: Namajunas vs. Cortez: Rose Namajunas v Tracy Cortez,,,,,,
UFC Fight Night: Namajunas vs. Cortez,1,Julian Erosa,Christian Rodriguez,UFC Fight Night: Namajunas vs. Cortez: Julian Erosa v Christian Rodriguez,,,,,,
UFC Fight Night: Namajunas vs. Cortez,1,Drew Dober,Mike Davis,UFC Fight Night: Namajunas vs. Cortez: Drew Dober v Mike Davis,,,,,,
UFC Fight Night: Namajunas vs. Cortez,1,Abdul Razak Alhassan,Cody Brundage,UFC Fight Night: Namajunas vs. Cortez: Abdul Razak Alhassan v Cody Brundage,,,,,,
UFC Fight Night: Namajunas vs. Cortez,1,Gabriel Bonfim,Ange Loosa,UFC Fight Night: Namajunas vs. Cortez: Gabriel Bonfim v Ange Loosa,,,,,,
UFC 303: Pereira vs. Prochazka 2,1,Andrei Arlovski,Martin Buday,UFC 303: Pereira vs. Prochazka 2: Andrei Arlovski v Martin Buday,Martin Buday,Decision - Split,3,5.0,3 Rnd (5-5-5),15.0
UFC 303: Pereira vs. Prochazka 2,1,Ricky Simon,Vinicius Oliveira,UFC 303: Pereira vs. Prochazka 2: Ricky Simon v Vinicius Oliveira,Vinicius Oliveira,Decision - Unanimous,3,5.0,3 Rnd (5-5-5),15.0
UFC 303: Pereira vs. Prochazka 2,1,Dan Ige,Diego Lopes,UFC 303: Pereira vs. Prochazka 2: Dan Ige v Diego Lopes,Diego Lopes,Decision - Unanimous,3,5.0,3 Rnd (5-5-5),15.0
UFC 303: Pereira vs. Prochazka 2,1,Alex Pereira,Jiri Prochazka,UFC 303: Pereira vs. Prochazka 2: Alex Pereira v Jiri Prochazka,Alex Pereira,KO/TKO,2,0.21666666666666667,5 Rnd (5-5-5-5-5),5.216666666666667
UFC 303: Pereira vs. Prochazka 2,1,Joe Pyfer,Marc-Andre Barriault,UFC 303: Pereira vs. Prochazka 2: Joe Pyfer v Marc-Andre Barriault,Joe Pyfer,KO/TKO,1,1.4166666666666667,3 Rnd (5-5-5),1.4166666666666667
UFC 303: Pereira vs. Prochazka 2,0,Michelle Waterson-Gomez,Gillian Robertson,UFC 303: Pereira vs. Prochazka 2: Michelle Waterson-Gomez v Gillian Robertson,Gillian Robertson,Decision - Unanimous,3,5.0,3 Rnd (5-5-5),15.0
