fight,fighter,opponent,fighter_url,result,kd,sig. str.,sig. str. att,sig. str. %,total str.,total str. att,td,td att,td %,sub. att,rev.,ctrl,head,head att,body,body att,leg,leg att,distance,distance att,clinch,clinch att,ground,ground att
UFC Fight Night: Namajunas vs. Cortez: Viviane Araujo v Jasmine Jasudavicius,Viviane Araujo,Jasmine Jasudavicius,http://ufcstats.com/fighter-details/36541f1e6c5d4955,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Viviane Araujo v Jasmine Jasudavicius,Jasmine Jasudavicius,Viviane Araujo,http://ufcstats.com/fighter-details/a9e260472d321361,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Santiago Ponzinibbio v Muslim Salikhov,Santiago Ponzinibbio,Muslim Salikhov,http://ufcstats.com/fighter-details/6d1bffff14897645,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Santiago Ponzinibbio v Muslim Salikhov,Muslim Salikhov,Santiago Ponzinibbio,http://ufcstats.com/fighter-details/447f9858ae78f921,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Josh Fremd v Andre Petroski,Josh Fremd,Andre Petroski,http://ufcstats.com/fighter-details/ca43de99b07b6b40,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Josh Fremd v Andre Petroski,Andre Petroski,Josh Fremd,http://ufcstats.com/fighter-details/5f61780fe5e9b6d0,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Luana Santos v Mariya Agapova,Luana Santos,Mariya Agapova,http://ufcstats.com/fighter-details/5078e1dacf9d25f4,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Luana Santos v Mariya Agapova,Mariya Agapova,Luana Santos,http://ufcstats.com/fighter-details/a08ddd04eaffd81d,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Rose Namajunas v Tracy Cortez,Rose Namajunas,Tracy Cortez,http://ufcstats.com/fighter-details/47b63240018d5d86,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Rose Namajunas v Tracy Cortez,Tracy Cortez,Rose Namajunas,http://ufcstats.com/fighter-details/68d4a891e5cf2029,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Julian Erosa v Christian Rodriguez,Julian Erosa,Christian Rodriguez,http://ufcstats.com/fighter-details/902ec2cc48c8ae8a,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Julian Erosa v Christian Rodriguez,Christian Rodriguez,Julian Erosa,http://ufcstats.com/fighter-details/5ec591b78349ba7e,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Drew Dober v Mike Davis,Drew Dober,Mike Davis,http://ufcstats.com/fighter-details/519e4fe37ce9ff75,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Drew Dober v Mike Davis,Mike Davis,Drew Dober,http://ufcstats.com/fighter-details/fb3e61720be4690c,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Abdul Razak Alhassan v Cody Brundage,Abdul Razak Alhassan,Cody Brundage,http://ufcstats.com/fighter-details/eae431e70064e046,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Abdul Razak Alhassan v Cody Brundage,Cody Brundage,Abdul Razak Alhassan,http://ufcstats.com/fighter-details/f14f644d41ade29f,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Gabriel Bonfim v Ange Loosa,Gabriel Bonfim,Ange Loosa,http://ufcstats.com/fighter-details/01641ba5df0c69b0,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Gabriel Bonfim v Ange Loosa,Ange Loosa,Gabriel Bonfim,http://ufcstats.com/fighter-details/1497e735d9f2560a,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 303: Pereira vs. Prochazka 2: Andrei Arlovski v Martin Buday,Andrei Arlovski,Martin Buday,http://ufcstats.com/fighter-details/3738e68d2261e60f,loss,0,74,119,0.62,98,147,0,1,0.0,0,0,4.966666666666667,34,69,26,33,14,17,54,97,20,22,0,0
UFC 303: Pereira vs. Prochazka 2: Andrei Arlovski v Martin Buday,Martin Buday,Andrei Arlovski,http://ufcstats.com/fighter-details/8eb046f83e82bf26,win,0,54,84,0.64,165,199,0,0,,0,0,2.6666666666666665,24,51,25,27,5,6,23,48,31,36,0,0
UFC 303: Pereira vs. Prochazka 2: Ricky Simon v Vinicius Oliveira,Ricky Simon,Vinicius Oliveira,http://ufcstats.com/fighter-details/5987b2458f4b5290,loss,0,42,96,0.43,44,98,2,11,0.18,0,0,0.5166666666666667,26,76,12,16,4,4,40,93,2,3,0,0
UFC 303: Pereira vs. Prochazka 2: Ricky Simon v Vinicius Oliveira,Vinicius Oliveira,Ricky Simon,http://ufcstats.com/fighter-details/18d01f7f8338ae72,win,0,96,237,0.4,96,237,1,1,1.0,0,0,0.26666666666666666,53,184,20,24,23,29,94,234,1,2,1,1
UFC 303: Pereira vs. Prochazka 2: Dan Ige v Diego Lopes,Dan Ige,Diego Lopes,http://ufcstats.com/fighter-details/82a5152216251682,loss,0,42,77,0.54,67,103,0,1,0.0,0,0,1.65,34,67,4,5,4,5,24,53,3,4,15,20
UFC 303: Pereira vs. Prochazka 2: Dan Ige v Diego Lopes,Diego Lopes,Dan Ige,http://ufcstats.com/fighter-details/f166e93d04a8c274,win,0,49,100,0.49,90,143,1,3,0.33,1,0,4.1,32,74,8,14,9,12,38,85,10,14,1,1
UFC 303: Pereira vs. Prochazka 2: Alex Pereira v Jiri Prochazka,Alex Pereira,Jiri Prochazka,http://ufcstats.com/fighter-details/e5549c82bfb5582d,win,2,38,50,0.76,49,61,0,0,,0,0,0.05,21,32,8,9,9,9,21,31,7,7,10,12
UFC 303: Pereira vs. Prochazka 2: Alex Pereira v Jiri Prochazka,Jiri Prochazka,Alex Pereira,http://ufcstats.com/fighter-details/009341ed974bad72,loss,0,7,25,0.28,7,25,0,0,,0,0,1.1833333333333333,4,20,2,4,1,1,6,24,1,1,0,0
UFC 303: Pereira vs. Prochazka 2: Joe Pyfer v Marc-Andre Barriault,Joe Pyfer,Marc-Andre Barriault,http://ufcstats.com/fighter-details/c1085e1701b13eca,win,1,8,10,0.8,8,10,0,0,,0,0,0.0,4,5,1,2,3,3,7,9,0,0,1,1
UFC 303: Pereira vs. Prochazka 2: Joe Pyfer v Marc-Andre Barriault,Marc-Andre Barriault,Joe Pyfer,http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d,loss,0,0,5,0.0,0,5,0,0,,0,0,0.0,0,3,0,1,0,1,0,5,0,0,0,0
UFC 303: Pereira vs. Prochazka 2: Michelle Waterson-Gomez v Gillian Robertson,Michelle Waterson-Gomez,Gillian Robertson,http://ufcstats.com/fighter-details/eb04b9d31e938edb,loss,0,21,52,0.4,41,75,1,1,1.0,0,0,0.31666666666666665,19,48,1,3,1,1,9,37,3,4,9,11
UFC 303: Pereira vs. Prochazka 2: Michelle Waterson-Gomez v Gillian Robertson,Gillian Robertson,Michelle Waterson-Gomez,http://ufcstats.com/fighter-details/38c7f72747f4f712,win,0,77,105,0.73,122,156,2,6,0.33,2,0,12.566666666666666,67,94,9,9,1,2,10,24,0,0,67,81
